symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NFLX,2019-06-20 00:00:00+00:00,365.21,370.12,361.215,365.91,5899467,365.21,370.12,361.215,365.91,5899467,0.0,1.0
NFLX,2019-06-21 00:00:00+00:00,369.21,371.45,365.0,365.0,7448356,369.21,371.45,365.0,365.0,7448356,0.0,1.0
NFLX,2019-06-24 00:00:00+00:00,371.04,375.0,370.2,370.27,4830240,371.04,375.0,370.2,370.27,4830240,0.0,1.0
NFLX,2019-06-25 00:00:00+00:00,360.3,370.9994,358.29,370.75,5750383,360.3,370.9994,358.29,370.75,5750383,0.0,1.0
NFLX,2019-06-26 00:00:00+00:00,362.2,366.79,361.6,361.6,3669677,362.2,366.79,361.6,361.6,3669677,0.0,1.0
NFLX,2019-06-27 00:00:00+00:00,370.02,370.85,363.2,363.2,4138575,370.02,370.85,363.2,363.2,4138575,0.0,1.0
NFLX,2019-06-28 00:00:00+00:00,367.32,371.5448,364.87,370.26,4592706,367.32,371.5448,364.87,370.26,4592706,0.0,1.0
NFLX,2019-07-01 00:00:00+00:00,374.6,376.66,372.0,373.5,5001518,374.6,376.66,372.0,373.5,5001518,0.0,1.0
NFLX,2019-07-02 00:00:00+00:00,375.43,376.0,370.31,374.89,3628962,375.43,376.0,370.31,374.89,3628962,0.0,1.0
NFLX,2019-07-03 00:00:00+00:00,381.72,381.99,375.84,376.69,3799009,381.72,381.99,375.84,376.69,3799009,0.0,1.0
NFLX,2019-07-05 00:00:00+00:00,380.55,381.4,375.555,378.29,3732162,380.55,381.4,375.555,378.29,3732162,0.0,1.0
NFLX,2019-07-08 00:00:00+00:00,376.16,378.25,375.36,378.19,3113402,376.16,378.25,375.36,378.19,3113402,0.0,1.0
NFLX,2019-07-09 00:00:00+00:00,379.93,384.76,377.5,379.06,6932822,379.93,384.76,377.5,379.06,6932822,0.0,1.0
NFLX,2019-07-10 00:00:00+00:00,381.0,384.3399,377.4,382.77,5878790,381.0,384.3399,377.4,382.77,5878790,0.0,1.0
NFLX,2019-07-11 00:00:00+00:00,379.5,384.54,378.8,381.1,4336287,379.5,384.54,378.8,381.1,4336287,0.0,1.0
NFLX,2019-07-12 00:00:00+00:00,373.25,379.7375,372.7917,378.68,6636937,373.25,379.7375,372.7917,378.68,6636937,0.0,1.0
NFLX,2019-07-15 00:00:00+00:00,366.6,373.68,362.3,372.94,7944680,366.6,373.68,362.3,372.94,7944680,0.0,1.0
NFLX,2019-07-16 00:00:00+00:00,365.99,371.34,364.92,370.09,5863222,365.99,371.34,364.92,370.09,5863222,0.0,1.0
NFLX,2019-07-17 00:00:00+00:00,362.44,366.5,361.75,366.25,13639536,362.44,366.5,361.75,366.25,13639536,0.0,1.0
NFLX,2019-07-18 00:00:00+00:00,325.21,329.85,320.3,323.76,31305899,325.21,329.85,320.3,323.76,31305899,0.0,1.0
NFLX,2019-07-19 00:00:00+00:00,315.1,325.85,314.23,323.4,16302482,315.1,325.85,314.23,323.4,16302482,0.0,1.0
NFLX,2019-07-22 00:00:00+00:00,310.62,314.54,305.81,312.0,17725334,310.62,314.54,305.81,312.0,17725334,0.0,1.0
NFLX,2019-07-23 00:00:00+00:00,307.3,313.5,306.0,311.44,9171068,307.3,313.5,306.0,311.44,9171068,0.0,1.0
NFLX,2019-07-24 00:00:00+00:00,317.94,319.99,307.25,310.51,11961818,317.94,319.99,307.25,310.51,11961818,0.0,1.0
NFLX,2019-07-25 00:00:00+00:00,326.46,327.69,316.3,318.86,10798496,326.46,327.69,316.3,318.86,10798496,0.0,1.0
NFLX,2019-07-26 00:00:00+00:00,335.78,336.0,327.5,328.79,10847495,335.78,336.0,327.5,328.79,10847495,0.0,1.0
NFLX,2019-07-29 00:00:00+00:00,332.7,336.4,328.77,335.98,5782817,332.7,336.4,328.77,335.98,5782817,0.0,1.0
NFLX,2019-07-30 00:00:00+00:00,325.93,329.65,323.23,329.2,6029320,325.93,329.65,323.23,329.2,6029320,0.0,1.0
NFLX,2019-07-31 00:00:00+00:00,322.99,331.77,318.53,325.16,6259494,322.99,331.77,318.53,325.16,6259494,0.0,1.0
NFLX,2019-08-01 00:00:00+00:00,319.5,328.58,318.735,324.25,6563156,319.5,328.58,318.735,324.25,6563156,0.0,1.0
NFLX,2019-08-02 00:00:00+00:00,318.83,319.41,311.8,317.49,6280343,318.83,319.41,311.8,317.49,6280343,0.0,1.0
NFLX,2019-08-05 00:00:00+00:00,307.63,313.4179,304.677,310.96,8692485,307.63,313.4179,304.677,310.96,8692485,0.0,1.0
NFLX,2019-08-06 00:00:00+00:00,310.1,311.88,305.3,310.58,6179090,310.1,311.88,305.3,310.58,6179090,0.0,1.0
NFLX,2019-08-07 00:00:00+00:00,304.29,305.0,296.8126,302.56,9322433,304.29,305.0,296.8126,302.56,9322433,0.0,1.0
NFLX,2019-08-08 00:00:00+00:00,315.9,316.3648,306.63,311.03,5905865,315.9,316.3648,306.63,311.03,5905865,0.0,1.0
NFLX,2019-08-09 00:00:00+00:00,308.93,316.64,305.68,313.74,5349059,308.93,316.64,305.68,313.74,5349059,0.0,1.0
NFLX,2019-08-12 00:00:00+00:00,310.83,312.89,303.24,305.46,6531722,310.83,312.89,303.24,305.46,6531722,0.0,1.0
NFLX,2019-08-13 00:00:00+00:00,312.28,316.43,308.16,309.77,5338761,312.28,316.43,308.16,309.77,5338761,0.0,1.0
NFLX,2019-08-14 00:00:00+00:00,299.11,308.41,298.005,308.01,7355753,299.11,308.41,298.005,308.01,7355753,0.0,1.0
NFLX,2019-08-15 00:00:00+00:00,295.76,300.63,288.0,299.5,9683384,295.76,300.63,288.0,299.5,9683384,0.0,1.0
NFLX,2019-08-16 00:00:00+00:00,302.8,303.55,296.27,298.86,7090757,302.8,303.55,296.27,298.86,7090757,0.0,1.0
NFLX,2019-08-19 00:00:00+00:00,309.38,311.75,304.75,306.25,4951733,309.38,311.75,304.75,306.25,4951733,0.0,1.0
NFLX,2019-08-20 00:00:00+00:00,298.99,305.0,297.6811,304.57,7352162,298.99,305.0,297.6811,304.57,7352162,0.0,1.0
NFLX,2019-08-21 00:00:00+00:00,297.81,302.88,296.2,301.61,5689746,297.81,302.88,296.2,301.61,5689746,0.0,1.0
NFLX,2019-08-22 00:00:00+00:00,296.93,300.33,293.15,298.65,4977042,296.93,300.33,293.15,298.65,4977042,0.0,1.0
NFLX,2019-08-23 00:00:00+00:00,291.44,299.01,290.32,295.0,6331189,291.44,299.01,290.32,295.0,6331189,0.0,1.0
NFLX,2019-08-26 00:00:00+00:00,294.98,296.95,292.5,295.24,4696982,294.98,296.95,292.5,295.24,4696982,0.0,1.0
NFLX,2019-08-27 00:00:00+00:00,291.03,296.77,287.1968,294.54,6314559,291.03,296.77,287.1968,294.54,6314559,0.0,1.0
NFLX,2019-08-28 00:00:00+00:00,291.77,292.82,287.75,289.47,3889363,291.77,292.82,287.75,289.47,3889363,0.0,1.0
NFLX,2019-08-29 00:00:00+00:00,296.78,299.93,294.99,295.0,4392532,296.78,299.93,294.99,295.0,4392532,0.0,1.0
NFLX,2019-08-30 00:00:00+00:00,293.75,298.94,290.85,298.78,4447990,293.75,298.94,290.85,298.78,4447990,0.0,1.0
NFLX,2019-09-03 00:00:00+00:00,289.29,293.9,288.06,290.82,3684177,289.29,293.9,288.06,290.82,3684177,0.0,1.0
